Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Perciformes,Lethrinidae,spangled emperor,Lethrinus,nebulosus,na,"Gascoyne Bioregion, Western Australia",c,0.146,"Marriott et al., 2011",0.282,573.1,"Marriott et al., 2011",30.75,"Marriott et al., 2011",24.375
Pleuronectiformes,Pleuronectidae,yellowtail flounder,Limanda,ferruginea,na,"Grand Bank, Newfoundland, Canada",c,0.256,"Cowen et al., 2009",0.16,556,"Dwyer et al., 2003",15,"Dwyer et al., 2003",10
Perciformes,Gobiidae,pygmy goby,Eviota,sigillata,na,Great Barrier Reef,c,49.57,"Depczynski & Bellwood, 2005",,,,0.16,"Depczynski & Bellwood, 2005",27.5
Perciformes,Lutjanidae,hussar,Lutjanus,adetii,na,Great Barrier Reef,c,0.24,"Newman et al., 1996",0.15,265.2,"Newman et al., 1996",24,"Newman et al., 1996",25.7
Perciformes,Lutjanidae,crimson snapper,Lutjanus,erythropterus,na,Great Barrier Reef,c,0.15,"Newman et al., 2000a",0.3922,584.5,"Newman et al., 2000a",32,"Newman et al., 2000a",25.9
Perciformes,Lutjanidae,five-line snapper,Lutjanus,quinquelineatus,na,Great Barrier Reef,c,0.15,"Newman et al., 1996",0.31,206.9,"Newman et al., 1996",31,"Newman et al., 1996",25.7
Perciformes,Serranidae,humpback grouper,Cromileptes,altivelis,na,Great Barrier Reef and Torres Strait,c,0.26,"Williams et al., 2009",0.35,575,"Williams et al., 2009",19,"Williams et al., 2009",22.5
Perciformes,Labridae,venus tusk fish,Choerodon,venustus,na,Great Barrier Reef ,c,0.45,"Platten et al., 2002",0.0852,829,"Platten et al., 2002",20,"Platten et al., 2002",25
Gadiformes,Macrouridae,giant grenadier,Albatrossia,pectoralis,na,Gulf of Alaska,c,0.105,"Rodgveller et al., 2010",0.02,566.08,"Hutchinson & Anderl, 2012",58,"Rodgveller et al., 2010",6
Pleuronectiformes,Pleuronectidae,arrowtooth flounder,Atheresthes,stomias,na,Gulf of Alaska,f,0.19,"Wilderbuer & Turnock, 2009",0.077,1015,"Turnock et al., 2003",25,"Wilderbuer & Turnock, 2009",4
Clupeiformes,Clupeidae,Gulf menhaden,Brevoortia,patronus,na,Gulf of Mexico,c,1.09,"Ahrenholz, 1981",0.475,252.7,"Nelson & Ahrenholz, 1986",4,"Nicholson & Schaaf, 1978",24.5
Perciformes,Serranidae,yellowedge grouper,Epinephelus,flavolimbatus,na,Gulf of Mexico,c,0.078,"*Walter, J.F., unpublished data",0.059,1004.5,"SEDAR, 2011",85,"Cook et al., 2009",16
Perciformes,Cichlidae,redbelly tilapia,Tilapia,zillii,na,"Haebaru Reservoir, Okinawa-jima Island, Japan",f,1.2,"*Ishikawa & Tachihara, 2008",0.67,99,"Ishikawa & Tachihara, 2008",7,"Ishikawa & Tachihara, 2008",23.5
Perciformes,Cichlidae,convict cichlid,Amatitlania,nigrofasciata,na,"Haebaru Reservoir, Okinawa-jima Island, Japan",m,1.817,"*Ishikawa & Tachihara, 2010",1.07,69.5,"Ishikawa & Tachihara, 2010",3,"Ishikawa & Tachihara, 2010",26
Anguilliformes,Anguillidae,American eel,Anguilla,rostrata,na,Hudson River,c,0.16,"Morrison & Secor, 2003",,,,38,"Morrison & Secor, 2003",13
Perciformes,Lutjanidae,graysnapper,Lutjanus,griseus,na,"Indian River county, Florida",c,0.35,"Burton, 2001",0.17,717,"Burton, 2001",24,"Burton, 2001",25
Salmoniformes,Salmonidae,rainbow trout,Oncorhynchus,mykiss,na,"Iris & Cabin lakes, Alberta, Canada",c,0.69,"Donald & Alger, 1986",,,,7,"Donald & Alger, 1986",4.6
Beryciformes,Berycidae,alfonsino,Beryx,splendens,na,"Izu Islands waters, Japan",c,0.57,"Tanaka, 2006",0.141,447,"Adachi et al., 2000",23,"Adachi et al., 2000",18
Perciformes,Channichthyidae,spiny icefish,Chaenodraco,wilsoni,na,Joinville–D’Urville Islands,c,2.26,"*La Mesa et al., 2009",0.78,325.5,"La Mesa et al., 2009",5,"La Mesa et al., 2009",17
Perciformes,Labridae,western king wrasse,Coris,auricularis,na,"Jurien Bay, Australia",c,0.54,"*Lek, E., unpublished data",0.25,378,"Lek et al., 2012",10.5,"Lek et al., 2012",20.6
Perciformes,Labridae,brownspotted wrasse,Notolabrus,parilus,na,"Jurien Bay, Australia",c,0.59,"*Lek, E., unpublished data",0.2,335,"Lek et al., 2012",10.4,"Lek et al., 2012",20.6
Perciformes,Labridae,Southern Maori wrasse,Ophthalmolepis,lineolatus,na,"Jurien Bay, Australia",c,1.27,"*Lek, E., unpublished data",0.27,296,"Lek et al., 2012",10.4,"Lek et al., 2012",20.6
Anguilliformes,Anguillidae,Japanese eel,Anguilla,japonica,na,"Kao-Ping River, Taiwan",c,0.39,"Lin et al., 2010",0.1435,891.2,"Lin & Tzeng, 2009",10,"Lin & Tzeng, 2009",25
Perciformes,Lutjanidae,mangrove jack,Lutjanus,argentimaculatus,na,"Kimberley, Western Australia",c,0.13,"Pember et al., 2005",0.177,659.5,"Pember et al., 2005",52,"Pember et al., 2005",26.9
Anguilliformes,Anguillidae,European eel,Anguilla,anguilla,na,"Koster Islands, Swedish west coast",f,0.23,"Svedäng, 1999",,,,19,"Svedäng, 1999",10.1
Perciformes,Gobiidae,striped goby,Gobius,vittatus,na,"Kvarner area, north Adriatic Sea",c,0.965,"Kovacic, 2006",1.1,50.545,"Kovacic, 2006",4,"Kovacic, 2006",14
Cypriniformes,Cyprinidae,redeye labeo,Labeo,cylindricus,na,"Lake Chicamba, Mozambique",c,1.93,"Weyl & Booth, 1999",0.66,224.2,"Weyl & Booth, 1999",4,"Weyl & Booth, 1999",25.8
Salmoniformes,Salmonidae,"least cisco, whitefish",Coregonus,sardinella,na,"Lake Ikroavik, Alaska",c,0.6,"Wohlschlag, 1954",0.17,380,"*Cohen, 1954",11,"Wohlschlag, 1954",5
Perciformes,Centrarchidae,white crappie,Pomoxis,annularis,na,"Lake Kathryn, Mississippi",c,0.84,"Allen et al., 1998",0.313,364,"Hammers & Miranda, 1991",9,"Allen et al., 1998",17.67
Salmoniformes,Salmonidae,kiyi,Coregonus,kiyi,na,"Lake Michigan, USA",c,1.25,"*Deason & Hile, 1947",0.45,227.6,"*Deason & Hile, 1947",10,"Deason & Hile, 1947",4
Salmoniformes,Salmonidae,lake whitefish,Coregonus,clupeaformis,na,"Lake Opeongo, Ontario, Canada",c,1.3,"Beverton & Holt, 1959",0.419,141,"*Kennedy, 1943",5,Kennedy 1943,5
Siluriformes,Ictaluridae,flathead catfish,Pylodictis,olivaris,na,"Lake Wilson, Alabama",c,0.19,"Marshall et al., 2009",0.066,1145,"Marshall et al., 2009",34,"Marshall et al., 2009",8.7
Scorpaeniformes,Cottidae,bullhead,Cottus,gobio,na,"Lake Windermere, England",f,0.99,"*Smyly, 1957",0.57,68.2,"*Smyly, 1957",6,"Smyly, 1957",9
